season,seasonPhase,playerId,player,team,games,last5HitsPerGame,last10HitsPerGame,last15HitsPerGame,last5TotalBasesPerGame,last10TotalBasesPerGame,last15TotalBasesPerGame,last5HomeRunsPerGame,last10HomeRunsPerGame,last15HomeRunsPerGame,last5StrikeoutsPerGame,last10StrikeoutsPerGame,last15StrikeoutsPerGame
2026,regular,663586,Austin Riley,ATL,36,1.2,0.7,0.6,2.4,1.4,1.133,0.4,0.2,0.133,1.8,1.5,1.333
2026,regular,572233,Christian Walker,HOU,36,1.6,1.6,1.333,2.2,2.7,2.333,0.2,0.3,0.267,0.8,1.0,0.867
2026,regular,702284,Cole Young,SEA,36,0.6,1.2,1.133,0.8,1.7,1.467,0.0,0.1,0.067,1.2,1.0,0.867
2026,regular,686948,Drake Baldwin,ATL,36,1.4,1.2,1.2,2.8,1.9,2.133,0.4,0.2,0.267,1.2,0.9,1.0
2026,regular,678662,Ezequiel Tovar,COL,36,0.4,0.5,0.333,0.4,0.5,0.333,0.0,0.0,0.0,0.6,1.1,1.0
2026,regular,666176,Jo Adell,LAA,36,1.2,1.1,0.867,1.2,1.4,1.067,0.0,0.1,0.067,1.2,1.1,1.067
2026,regular,608070,José Ramírez,CLE,36,0.8,0.7,0.8,1.2,1.0,1.467,0.0,0.0,0.133,0.8,0.5,0.667
2026,regular,677594,Julio Rodríguez,SEA,36,1.4,1.4,1.467,2.8,2.7,2.333,0.4,0.3,0.2,0.8,0.7,0.6
2026,regular,621566,Matt Olson,ATL,36,1.0,1.3,1.2,3.2,3.2,2.933,0.6,0.5,0.467,0.6,0.6,0.733
2026,regular,645277,Ozzie Albies,ATL,36,1.6,1.6,1.533,2.8,3.0,2.733,0.2,0.3,0.267,0.4,0.3,0.333
2026,regular,668227,Randy Arozarena,SEA,36,0.4,0.8,0.933,1.0,1.6,1.8,0.2,0.1,0.133,1.2,1.4,1.333
2026,regular,682985,Riley Greene,DET,36,1.0,1.1,1.267,1.2,1.8,2.067,0.0,0.2,0.2,1.8,1.6,1.4
2026,regular,681198,TJ Rumfield,COL,36,1.0,1.0,1.067,1.6,1.5,1.8,0.2,0.1,0.133,0.8,0.7,0.533
2026,regular,670541,Yordan Alvarez,HOU,36,1.2,1.2,1.4,1.8,1.6,2.4,0.2,0.1,0.267,1.2,0.8,0.6
2026,regular,687263,Zach Neto,LAA,36,0.0,0.6,0.6,0.0,0.8,0.867,0.0,0.0,0.0,1.8,2.0,1.733
2026,regular,592450,Aaron Judge,NYY,35,1.2,1.2,1.067,2.4,2.9,2.4,0.4,0.5,0.4,1.4,1.0,1.2
2026,regular,608324,Alex Bregman,CHC,35,0.6,0.7,1.0,1.0,1.2,1.6,0.0,0.1,0.067,0.6,0.7,0.6
2026,regular,681624,Andy Pages,LAD,35,1.0,1.0,0.8,1.2,1.4,1.067,0.0,0.0,0.0,1.2,0.8,0.733
2026,regular,666182,Bo Bichette,NYM,35,1.0,0.9,1.0,1.0,1.2,1.333,0.0,0.1,0.067,0.6,0.4,0.533
2026,regular,677951,Bobby Witt Jr.,KCR,35,0.8,1.2,1.267,1.4,2.5,2.267,0.2,0.3,0.2,1.4,0.8,0.8
