season,seasonPhase,date,playerId,player,team,windowDays,batter_recent_hits_vs_lhp,batter_recent_hits_vs_rhp,batter_recent_avg_vs_lhp,batter_recent_avg_vs_rhp,batter_recent_pa_vs_lhp,batter_recent_pa_vs_rhp,batter_recent_ab_vs_lhp,batter_recent_ab_vs_rhp,batter_recent_games_vs_lhp,batter_recent_games_vs_rhp
2026,regular,2026-03-25,592450,Aaron Judge,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,669224,Austin Wells,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,700250,Ben Rice,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,669477,Casey Schmitt,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,641355,Cody Bellinger,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,519317,Giancarlo Stanton,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,664056,Harrison Bader,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,671218,Heliot Ramos,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,665862,Jazz Chisholm Jr.,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,676609,José Caballero,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,808982,Jung Hoo Lee,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,650333,Luis Arraez,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,656305,Matt Chapman,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,672275,Patrick Bailey,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,646240,Rafael Devers,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,641857,Ryan McMahon,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,663757,Trent Grisham,NYY,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-25,642715,Willy Adames,SFG,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,668939,Adley Rutschman,BAL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,666969,Adolis García,PHI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,664761,Alec Bohm,PHI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,676475,Alec Burleson,STL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,677950,Alek Thomas,ARI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,608324,Alex Bregman,CHC,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,643217,Andrew Benintendi,CHW,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,457705,Andrew McCutchen,TEX,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,683734,Andrew Vaughn,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,665953,Andrés Chaparro,WSN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,681624,Andy Pages,LAD,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,682657,Angel Martínez,CLE,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,669720,Austin Hays,CHW,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,668885,Austin Martin,MIN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,810938,Ben Williamson,TBR,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,663368,Blake Perkins,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,677942,Blaze Alexander,BAL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,666182,Bo Bichette,NYM,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,666310,Bo Naylor,CLE,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,691781,Brady House,WSN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,663604,Brandon Lockridge,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,664040,Brandon Lowe,PIT,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,669016,Brandon Marsh,PHI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,607043,Brandon Nimmo,TEX,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,677587,Brayan Rocchio,CLE,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,680977,Brendan Donovan,SEA,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,683146,Brett Baty,NYM,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,668930,Brice Turang,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,686797,Brooks Lee,MIN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,668804,Bryan Reynolds,PIT,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,547180,Bryce Harper,PHI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,669326,Bryce Teodosio,LAA,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,681082,Bryson Stott,PHI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,621439,Byron Buxton,MIN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,663728,Cal Raleigh,SEA,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,702332,Caleb Durbin,BOS,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,701358,Cam Smith,HOU,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,621043,Carlos Correa,HOU,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,665966,Carlos Narváez,BOS,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,467793,Carlos Santana,ARI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,701807,Carson Benge,NYM,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,608348,Carson Kelly,CHC,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,700246,Carson Williams,TBR,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,678882,Ceddanne Rafaela,BOS,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,656775,Cedric Mullins,TBR,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,802415,Chandler Simpson,TBR,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,800050,Chase DeLauter,CLE,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,805367,Chase Meidroth,CHW,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,572233,Christian Walker,HOU,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,592885,Christian Yelich,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,682928,CJ Abrams,WSN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,691723,Coby Mayo,BAL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,702284,Cole Young,SEA,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,695657,Colson Montgomery,CHW,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,690993,Colt Keith,DET,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,681297,Colton Cowser,BAL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,682998,Corbin Carroll,ARI,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,608369,Corey Seager,TEX,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,667472,Dane Myers,CIN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,682177,Daniel Schneemann,CLE,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,643376,Danny Jansen,TEX,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,621020,Dansby Swanson,CHC,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,666152,David Hamilton,MIL,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,695734,Daylen Lile,WSN,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,656537,Derek Hill,CHW,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,693307,Dillon Dingler,DET,30,,,,,0,0,0,0,0,0
2026,regular,2026-03-26,686527,Dominic Canzone,SEA,30,,,,,0,0,0,0,0,0
