season,seasonPhase,playerId,player,team,games,pa,ab,runs,hits,doubles,triples,homeRuns,rbi,walks,strikeouts,stolenBases,totalBases,avg,obp_est,slg,ops_est,hitsPerGame,totalBasesPerGame,homeRunsPerGame,runsPerGame,rbiPerGame,strikeoutsPerGame,walksPerGame,kRate,bbRate,babip,avgHome,avgAway
2026,regular,663586,Austin Riley,ATL,38,159.0,143.0,19.0,29.0,6.0,0.0,5.0,22.0,13.0,43.0,3.0,50.0,0.203,0.269,0.35,0.619,0.763,1.316,0.132,0.5,0.579,1.132,0.342,27.04,8.18,0.253,0.191,0.213
2026,regular,572233,Christian Walker,HOU,38,155.0,137.0,24.0,42.0,9.0,0.0,9.0,27.0,15.0,29.0,0.0,78.0,0.307,0.375,0.569,0.944,1.105,2.053,0.237,0.632,0.711,0.763,0.395,18.71,9.68,0.333,0.284,0.329
2026,regular,702284,Cole Young,SEA,38,149.0,134.0,20.0,36.0,6.0,1.0,3.0,20.0,12.0,36.0,2.0,53.0,0.269,0.329,0.396,0.725,0.947,1.395,0.079,0.526,0.526,0.947,0.316,24.16,8.05,0.347,0.25,0.296
2026,regular,686948,Drake Baldwin,ATL,38,174.0,155.0,33.0,47.0,5.0,0.0,9.0,30.0,16.0,35.0,1.0,79.0,0.303,0.368,0.51,0.878,1.237,2.079,0.237,0.868,0.789,0.921,0.421,20.11,9.2,0.342,0.3,0.306
2026,regular,666176,Jo Adell,LAA,38,161.0,151.0,14.0,39.0,2.0,0.0,4.0,21.0,4.0,36.0,2.0,53.0,0.258,0.277,0.351,0.628,1.026,1.395,0.105,0.368,0.553,0.947,0.105,22.36,2.48,0.315,0.254,0.262
2026,regular,608070,José Ramírez,CLE,38,165.0,139.0,22.0,29.0,8.0,0.0,6.0,14.0,26.0,22.0,14.0,55.0,0.209,0.333,0.396,0.729,0.763,1.447,0.158,0.579,0.368,0.579,0.684,13.33,15.76,0.207,0.241,0.188
2026,regular,677594,Julio Rodríguez,SEA,38,165.0,150.0,18.0,39.0,7.0,0.0,5.0,17.0,13.0,38.0,3.0,61.0,0.26,0.319,0.407,0.726,1.026,1.605,0.132,0.474,0.447,1.0,0.342,23.03,7.88,0.318,0.278,0.233
2026,regular,621566,Matt Olson,ATL,38,170.0,146.0,35.0,44.0,15.0,0.0,13.0,33.0,22.0,39.0,0.0,98.0,0.301,0.393,0.671,1.064,1.158,2.579,0.342,0.921,0.868,1.026,0.579,22.94,12.94,0.33,0.314,0.289
2026,regular,645277,Ozzie Albies,ATL,38,163.0,146.0,29.0,47.0,8.0,0.0,8.0,23.0,13.0,20.0,0.0,79.0,0.322,0.377,0.541,0.918,1.237,2.079,0.211,0.763,0.605,0.526,0.342,12.27,7.98,0.331,0.343,0.304
2026,regular,668227,Randy Arozarena,SEA,38,158.0,136.0,24.0,36.0,9.0,1.0,3.0,12.0,17.0,37.0,8.0,56.0,0.265,0.346,0.412,0.758,0.947,1.474,0.079,0.632,0.316,0.974,0.447,23.42,10.76,0.344,0.238,0.308
2026,regular,682985,Riley Greene,DET,38,157.0,135.0,24.0,40.0,10.0,0.0,4.0,19.0,22.0,44.0,1.0,62.0,0.296,0.395,0.459,0.854,1.053,1.632,0.105,0.632,0.5,1.158,0.579,28.03,14.01,0.414,0.387,0.219
2026,regular,670541,Yordan Alvarez,HOU,38,168.0,141.0,26.0,45.0,9.0,0.0,12.0,27.0,22.0,21.0,1.0,90.0,0.319,0.411,0.638,1.049,1.184,2.368,0.316,0.684,0.711,0.553,0.579,12.5,13.1,0.306,0.377,0.264
2026,regular,687263,Zach Neto,LAA,38,176.0,149.0,26.0,33.0,8.0,1.0,6.0,18.0,24.0,55.0,7.0,61.0,0.221,0.329,0.409,0.738,0.868,1.605,0.158,0.684,0.474,1.447,0.632,31.25,13.64,0.307,0.209,0.232
2026,regular,592450,Aaron Judge,NYY,37,163.0,132.0,34.0,36.0,6.0,0.0,15.0,28.0,28.0,46.0,5.0,87.0,0.273,0.4,0.659,1.059,0.973,2.351,0.405,0.919,0.757,1.243,0.757,28.22,17.18,0.296,0.319,0.222
2026,regular,608324,Alex Bregman,CHC,37,170.0,147.0,14.0,36.0,5.0,1.0,3.0,13.0,21.0,26.0,1.0,52.0,0.245,0.339,0.354,0.693,0.973,1.405,0.081,0.378,0.351,0.703,0.568,15.29,12.35,0.28,0.244,0.246
2026,regular,681624,Andy Pages,LAD,37,149.0,137.0,22.0,46.0,8.0,0.0,8.0,33.0,9.0,32.0,6.0,78.0,0.336,0.377,0.569,0.946,1.243,2.108,0.216,0.595,0.892,0.865,0.243,21.48,6.04,0.392,0.359,0.315
