season,seasonPhase,date,gamePk,gameDate,status,codedGameState,away,home,awayName,homeName,awayScore,homeScore,awayProbablePitcher,homeProbablePitcher,venue,final
2026,regular,2026-03-25,823244,2026-03-26T00:05:00Z,Final,F,NYY,SFG,New York Yankees,San Francisco Giants,7,,Max Fried,Logan Webb,Oracle Park,True
2026,regular,2026-03-26,823649,2026-03-26T17:15:00Z,Final,F,PIT,NYM,Pittsburgh Pirates,New York Mets,7,11,Paul Skenes,Freddy Peralta,Citi Field,True
2026,regular,2026-03-26,823812,2026-03-26T18:10:00Z,Final,F,CHW,MIL,Chicago White Sox,Milwaukee Brewers,2,14,Shane Smith,Jacob Misiorowski,American Family Field,True
2026,regular,2026-03-26,824704,2026-03-26T18:20:00Z,Final,F,WSN,CHC,Washington Nationals,Chicago Cubs,10,4,Cade Cavalli,Matthew Boyd,Wrigley Field,True
2026,regular,2026-03-26,824865,2026-03-26T19:05:00Z,Final,F,MIN,BAL,Minnesota Twins,Baltimore Orioles,1,2,Joe Ryan,Trevor Rogers,Oriole Park at Camden Yards,True
2026,regular,2026-03-26,824541,2026-03-26T20:10:00Z,Final,F,BOS,CIN,Boston Red Sox,Cincinnati Reds,3,,Garrett Crochet,Andrew Abbott,Great American Ball Park,True
2026,regular,2026-03-26,824218,2026-03-26T20:10:00Z,Final,F,LAA,HOU,Los Angeles Angels,Houston Astros,3,,José Soriano,Hunter Brown,Daikin Park,True
2026,regular,2026-03-26,823325,2026-03-26T20:10:00Z,Final,F,DET,SDP,Detroit Tigers,San Diego Padres,8,2,Tarik Skubal,Nick Pivetta,Petco Park,True
2026,regular,2026-03-26,823081,2026-03-26T20:15:00Z,Final,F,TBR,STL,Tampa Bay Rays,St. Louis Cardinals,7,9,Drew Rasmussen,Matthew Liberatore,Busch Stadium,True
2026,regular,2026-03-26,823486,2026-03-26T20:15:00Z,Final,F,TEX,PHI,Texas Rangers,Philadelphia Phillies,3,5,Nathan Eovaldi,Cristopher Sánchez,Citizens Bank Park,True
2026,regular,2026-03-26,823974,2026-03-27T00:30:00Z,Final,F,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,2,8,Zac Gallen,Yoshinobu Yamamoto,UNIQLO Field at Dodger Stadium,True
2026,regular,2026-03-26,823163,2026-03-27T02:10:00Z,Final,F,CLE,SEA,Cleveland Guardians,Seattle Mariners,6,4,Tanner Bibee,Logan Gilbert,T-Mobile Park,True
2026,regular,2026-03-27,823243,2026-03-27T20:35:00Z,Final,F,NYY,SFG,New York Yankees,San Francisco Giants,3,,Cam Schlittler,Robbie Ray,Oracle Park,True
2026,regular,2026-03-27,822839,2026-03-27T23:07:00Z,Final,F,ATH,TOR,Athletics,Toronto Blue Jays,2,3,Luis Severino,Kevin Gausman,Rogers Centre,True
2026,regular,2026-03-27,823893,2026-03-27T23:10:00Z,Final,F,COL,MIA,Colorado Rockies,Miami Marlins,1,2,Kyle Freeland,Sandy Alcantara,loanDepot park,True
2026,regular,2026-03-27,824946,2026-03-27T23:15:00Z,Final,F,KCR,ATL,Kansas City Royals,Atlanta Braves,,6,Cole Ragans,Chris Sale,Truist Park,True
2026,regular,2026-03-27,824216,2026-03-28T00:15:00Z,Final,F,LAA,HOU,Los Angeles Angels,Houston Astros,6,2,Yusei Kikuchi,Mike Burrows,Daikin Park,True
2026,regular,2026-03-27,823324,2026-03-28T01:40:00Z,Final,F,DET,SDP,Detroit Tigers,San Diego Padres,5,2,Framber Valdez,Michael King,Petco Park,True
2026,regular,2026-03-27,823162,2026-03-28T01:45:00Z,Final,F,CLE,SEA,Cleveland Guardians,Seattle Mariners,1,5,Gavin Williams,George Kirby,T-Mobile Park,True
2026,regular,2026-03-27,823971,2026-03-28T02:10:00Z,Final,F,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,4,5,Ryne Nelson,Emmet Sheehan,UNIQLO Field at Dodger Stadium,True
2026,regular,2026-03-28,823082,2026-03-28T18:15:00Z,Final,F,TBR,STL,Tampa Bay Rays,St. Louis Cardinals,5,6,Joe Boyle,Michael McGreevy,Busch Stadium,True
2026,regular,2026-03-28,824701,2026-03-28T18:20:00Z,Final,F,WSN,CHC,Washington Nationals,Chicago Cubs,2,10,Miles Mikolas,Cade Horton,Wrigley Field,True
2026,regular,2026-03-28,822838,2026-03-28T19:07:00Z,Final,F,ATH,TOR,Athletics,Toronto Blue Jays,7,8,Jeffrey Springs,Dylan Cease,Rogers Centre,True
2026,regular,2026-03-28,824862,2026-03-28T20:05:00Z,Final,F,MIN,BAL,Minnesota Twins,Baltimore Orioles,4,1,Taj Bradley,Kyle Bradish,Oriole Park at Camden Yards,True
2026,regular,2026-03-28,823488,2026-03-28T20:05:00Z,Final,F,TEX,PHI,Texas Rangers,Philadelphia Phillies,5,4,Jacob Latz,Aaron Nola,Citizens Bank Park,True
2026,regular,2026-03-28,824540,2026-03-28T20:10:00Z,Final,F,BOS,CIN,Boston Red Sox,Cincinnati Reds,5,6,Sonny Gray,Brady Singer,Great American Ball Park,True
2026,regular,2026-03-28,823651,2026-03-28T20:10:00Z,Final,F,PIT,NYM,Pittsburgh Pirates,New York Mets,2,4,Mitch Keller,David Peterson,Citi Field,True
2026,regular,2026-03-28,823892,2026-03-28T20:10:00Z,Final,F,COL,MIA,Colorado Rockies,Miami Marlins,3,4,Michael Lorenzen,Eury Pérez,loanDepot park,True
2026,regular,2026-03-28,824213,2026-03-28T23:10:00Z,Final,F,LAA,HOU,Los Angeles Angels,Houston Astros,9,11,Reid Detmers,Cristian Javier,Daikin Park,True
2026,regular,2026-03-28,823811,2026-03-28T23:10:00Z,Final,F,CHW,MIL,Chicago White Sox,Milwaukee Brewers,1,6,Sean Burke,Chad Patrick,American Family Field,True
2026,regular,2026-03-28,824945,2026-03-28T23:15:00Z,Final,F,KCR,ATL,Kansas City Royals,Atlanta Braves,2,6,Michael Wacha,Reynaldo López,Truist Park,True
2026,regular,2026-03-28,823241,2026-03-28T23:15:00Z,Final,F,NYY,SFG,New York Yankees,San Francisco Giants,3,1,Will Warren,Tyler Mahle,Oracle Park,True
2026,regular,2026-03-28,823323,2026-03-29T00:40:00Z,Final,F,DET,SDP,Detroit Tigers,San Diego Padres,,3,Jack Flaherty,Randy Vásquez,Petco Park,True
2026,regular,2026-03-28,823973,2026-03-29T01:10:00Z,Final,F,ARI,LAD,Arizona Diamondbacks,Los Angeles Dodgers,2,3,Eduardo Rodriguez,Tyler Glasnow,UNIQLO Field at Dodger Stadium,True
2026,regular,2026-03-28,823161,2026-03-29T01:40:00Z,Final,F,CLE,SEA,Cleveland Guardians,Seattle Mariners,6,5,Joey Cantillo,Bryan Woo,T-Mobile Park,True
2026,regular,2026-03-29,824864,2026-03-29T17:35:00Z,Final,F,MIN,BAL,Minnesota Twins,Baltimore Orioles,6,8,Bailey Ober,Shane Baz,Oriole Park at Camden Yards,True
2026,regular,2026-03-29,823487,2026-03-29T17:35:00Z,Final,F,TEX,PHI,Texas Rangers,Philadelphia Phillies,8,3,MacKenzie Gore,Jesús Luzardo,Citizens Bank Park,True
2026,regular,2026-03-29,824944,2026-03-29T17:35:00Z,Final,F,KCR,ATL,Kansas City Royals,Atlanta Braves,4,1,Seth Lugo,Grant Holmes,Truist Park,True
2026,regular,2026-03-29,822837,2026-03-29T17:37:00Z,Final,F,ATH,TOR,Athletics,Toronto Blue Jays,2,5,Luis Morales,Eric Lauer,Rogers Centre,True
2026,regular,2026-03-29,824538,2026-03-29T17:40:00Z,Final,F,BOS,CIN,Boston Red Sox,Cincinnati Reds,2,3,Connelly Early,Rhett Lowder,Great American Ball Park,True
2026,regular,2026-03-29,823647,2026-03-29T17:40:00Z,Final,F,PIT,NYM,Pittsburgh Pirates,New York Mets,4,3,Carmen Mlodzinski,Nolan McLean,Citi Field,True
2026,regular,2026-03-29,823891,2026-03-29T17:40:00Z,Final,F,COL,MIA,Colorado Rockies,Miami Marlins,3,4,Jose Quintana,Max Meyer,loanDepot park,True
2026,regular,2026-03-29,824215,2026-03-29T18:10:00Z,Final,F,LAA,HOU,Los Angeles Angels,Houston Astros,7,9,Jack Kochanowicz,Tatsuya Imai,Daikin Park,True
2026,regular,2026-03-29,823810,2026-03-29T18:10:00Z,Final,F,CHW,MIL,Chicago White Sox,Milwaukee Brewers,7,9,Anthony Kay,Brandon Sproat,American Family Field,True
2026,regular,2026-03-29,823079,2026-03-29T18:15:00Z,Final,F,TBR,STL,Tampa Bay Rays,St. Louis Cardinals,11,7,Steven Matz,Dustin May,Busch Stadium,True
2026,regular,2026-03-29,824700,2026-03-29T18:20:00Z,Final,F,WSN,CHC,Washington Nationals,Chicago Cubs,6,3,Jake Irvin,Shota Imanaga,Wrigley Field,True
2026,regular,2026-03-29,823160,2026-03-29T23:20:00Z,Final,F,CLE,SEA,Cleveland Guardians,Seattle Mariners,,8,Slade Cecconi,Emerson Hancock,T-Mobile Park,True
2026,regular,2026-03-30,824135,2026-03-30T20:10:00Z,Final,F,MIN,KCR,Minnesota Twins,Kansas City Royals,1,3,Simeon Woods Richardson,Kris Bubic,Kauffman Stadium,True
2026,regular,2026-03-30,824863,2026-03-30T22:35:00Z,Final,F,TEX,BAL,Texas Rangers,Baltimore Orioles,5,2,Jack Leiter,Chris Bassitt,Oriole Park at Camden Yards,True
2026,regular,2026-03-30,824539,2026-03-30T22:40:00Z,Final,F,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,,2,Braxton Ashcraft,Chase Burns,Great American Ball Park,True
2026,regular,2026-03-30,823484,2026-03-30T22:40:00Z,Final,F,WSN,PHI,Washington Nationals,Philadelphia Phillies,13,2,Foster Griffin,Taijuan Walker,Citizens Bank Park,True
2026,regular,2026-03-30,823890,2026-03-30T22:40:00Z,Final,F,CHW,MIA,Chicago White Sox,Miami Marlins,9,4,Davis Martin,Chris Paddack,loanDepot park,True
2026,regular,2026-03-30,822834,2026-03-30T23:07:00Z,Final,F,COL,TOR,Colorado Rockies,Toronto Blue Jays,14,5,Tomoyuki Sugano,Cody Ponce,Rogers Centre,True
2026,regular,2026-03-30,824943,2026-03-30T23:15:00Z,Final,F,ATH,ATL,Athletics,Atlanta Braves,,4,Jacob Lopez,Bryce Elder,Truist Park,True
2026,regular,2026-03-30,824702,2026-03-30T23:40:00Z,Final,F,LAA,CHC,Los Angeles Angels,Chicago Cubs,2,7,Ryan Johnson,Edward Cabrera,Wrigley Field,True
2026,regular,2026-03-30,823809,2026-03-30T23:40:00Z,Final,F,TBR,MIL,Tampa Bay Rays,Milwaukee Brewers,3,2,Nick Martinez,Kyle Harrison,American Family Field,True
2026,regular,2026-03-30,823080,2026-03-30T23:45:00Z,Final,F,NYM,STL,New York Mets,St. Louis Cardinals,4,2,Clay Holmes,Kyle Leahy,Busch Stadium,True
2026,regular,2026-03-30,824214,2026-03-31T00:10:00Z,Final,F,BOS,HOU,Boston Red Sox,Houston Astros,1,8,Ranger Suarez,Lance McCullers Jr.,Daikin Park,True
2026,regular,2026-03-30,823320,2026-03-31T01:40:00Z,Final,F,SFG,SDP,San Francisco Giants,San Diego Padres,3,2,Landen Roupp,Walker Buehler,Petco Park,True
2026,regular,2026-03-30,823159,2026-03-31T01:40:00Z,Final,F,NYY,SEA,New York Yankees,Seattle Mariners,1,2,Ryan Weathers,Luis Castillo,T-Mobile Park,True
2026,regular,2026-03-30,825108,2026-03-31T02:10:00Z,Final,F,DET,ARI,Detroit Tigers,Arizona Diamondbacks,6,9,Justin Verlander,Michael Soroka,Chase Field,True
2026,regular,2026-03-30,823972,2026-03-31T02:10:00Z,Final,F,CLE,LAD,Cleveland Guardians,Los Angeles Dodgers,4,2,Parker Messick,Roki Sasaki,UNIQLO Field at Dodger Stadium,True
2026,regular,2026-03-31,824861,2026-03-31T22:35:00Z,Final,F,TEX,BAL,Texas Rangers,Baltimore Orioles,8,5,Jacob deGrom,Zach Eflin,Oriole Park at Camden Yards,True
