season,seasonPhase,playerId,player,team,games,ip,runs,earnedRuns,hitsAllowed,homeRunsAllowed,walks,strikeouts,battersFaced,pitchesThrown,strikes,era,whip,kPer9,bbPer9,hrPer9,strikeoutsPerGame,hitsAllowedPerGame,earnedRunsPerGame,walksPerGame,homeRunsAllowedPerGame,kRate,bbRate
2026,regular,608331,Max Fried,NYY,8,52.667,14.0,14.0,32.0,1.0,15.0,43.0,201.0,762.0,478.0,2.39,0.892,7.35,2.56,0.17,5.375,4.0,1.75,1.875,0.125,21.39,7.46
2026,regular,693645,Cam Schlittler,NYY,8,47.333,10.0,8.0,32.0,1.0,9.0,53.0,181.0,692.0,481.0,1.52,0.866,10.08,1.71,0.19,6.625,4.0,1.0,1.125,0.125,29.28,4.97
2026,regular,645261,Sandy Alcantara,MIA,7,47.333,18.0,16.0,40.0,4.0,15.0,31.0,193.0,670.0,446.0,3.04,1.162,5.89,2.85,0.76,4.429,5.714,2.286,2.143,0.571,16.06,7.77
2026,regular,667755,José Soriano,LAA,8,46.667,9.0,9.0,32.0,5.0,19.0,54.0,186.0,752.0,472.0,1.74,1.093,10.41,3.66,0.96,6.75,4.0,1.125,2.375,0.625,29.03,10.22
2026,regular,669923,George Kirby,SEA,7,45.0,15.0,15.0,40.0,4.0,11.0,34.0,178.0,642.0,432.0,3.0,1.133,6.8,2.2,0.8,4.857,5.714,2.143,1.571,0.571,19.1,6.18
2026,regular,608379,Michael Wacha,KCR,7,44.333,15.0,15.0,32.0,5.0,15.0,36.0,174.0,640.0,413.0,3.05,1.06,7.31,3.05,1.02,5.143,4.571,2.143,2.143,0.714,20.69,8.62
2026,regular,663436,Davis Martin,CHW,7,44.0,8.0,8.0,37.0,2.0,8.0,43.0,169.0,628.0,423.0,1.64,1.023,8.8,1.64,0.41,6.143,5.286,1.143,1.143,0.286,25.44,4.73
2026,regular,669302,Logan Gilbert,SEA,8,44.0,21.0,21.0,47.0,8.0,10.0,43.0,185.0,732.0,479.0,4.3,1.295,8.8,2.05,1.64,5.375,5.875,2.625,1.25,1.0,23.24,5.41
2026,regular,657277,Logan Webb,SFG,7,44.0,23.0,21.0,45.0,3.0,15.0,38.0,188.0,669.0,437.0,4.3,1.364,7.77,3.07,0.61,5.429,6.429,3.0,2.143,0.429,20.21,7.98
2026,regular,607625,Seth Lugo,KCR,7,43.667,14.0,13.0,40.0,1.0,13.0,37.0,174.0,657.0,437.0,2.68,1.214,7.63,2.68,0.21,5.286,5.714,1.857,1.857,0.143,21.26,7.47
2026,regular,808967,Yoshinobu Yamamoto,LAD,7,43.667,16.0,15.0,34.0,5.0,10.0,40.0,170.0,666.0,429.0,3.09,1.008,8.24,2.06,1.03,5.714,4.857,2.143,1.429,0.714,23.53,5.88
2026,regular,668909,Gavin Williams,CLE,7,43.333,14.0,13.0,25.0,6.0,19.0,53.0,171.0,660.0,432.0,2.7,1.015,11.01,3.95,1.25,7.571,3.571,1.857,2.714,0.857,30.99,11.11
2026,regular,669373,Tarik Skubal,DET,7,43.333,14.0,13.0,35.0,2.0,6.0,45.0,166.0,626.0,422.0,2.7,0.946,9.35,1.25,0.42,6.429,5.0,1.857,0.857,0.286,27.11,3.61
2026,regular,693821,Bryce Elder,ATL,7,43.0,12.0,9.0,32.0,2.0,13.0,36.0,172.0,607.0,379.0,1.88,1.047,7.53,2.72,0.42,5.143,4.571,1.286,1.857,0.286,20.93,7.56
2026,regular,605280,Clay Holmes,NYM,7,42.667,8.0,8.0,28.0,3.0,14.0,31.0,168.0,630.0,420.0,1.69,0.984,6.54,2.95,0.63,4.429,4.0,1.143,2.0,0.429,18.45,8.33
2026,regular,519242,Chris Sale,ATL,7,42.0,10.0,10.0,26.0,5.0,12.0,49.0,164.0,644.0,434.0,2.14,0.905,10.5,2.57,1.07,7.0,3.714,1.429,1.714,0.714,29.88,7.32
2026,regular,607259,Nick Martinez,TBR,7,42.0,8.0,8.0,33.0,3.0,10.0,28.0,168.0,588.0,396.0,1.71,1.024,6.0,2.14,0.64,4.0,4.714,1.143,1.429,0.429,16.67,5.95
2026,regular,677952,Braxton Ashcraft,PIT,7,41.667,17.0,14.0,31.0,3.0,14.0,45.0,165.0,604.0,394.0,3.02,1.08,9.72,3.02,0.65,6.429,4.429,2.0,2.0,0.429,27.27,8.48
2026,regular,676106,Emerson Hancock,SEA,7,41.667,12.0,12.0,34.0,7.0,6.0,46.0,159.0,647.0,429.0,2.59,0.96,9.94,1.3,1.51,6.571,4.857,1.714,0.857,1.0,28.93,3.77
2026,regular,665795,Edward Cabrera,CHC,7,41.333,17.0,15.0,39.0,5.0,14.0,37.0,171.0,637.0,404.0,3.27,1.282,8.06,3.05,1.09,5.286,5.571,2.143,2.0,0.714,21.64,8.19
2026,regular,686799,Jack Kochanowicz,LAA,7,41.333,16.0,14.0,29.0,2.0,21.0,30.0,175.0,660.0,404.0,3.05,1.21,6.53,4.57,0.44,4.286,4.143,2.0,3.0,0.286,17.14,12.0
2026,regular,800048,Parker Messick,CLE,7,41.333,11.0,11.0,28.0,4.0,10.0,44.0,156.0,621.0,408.0,2.4,0.919,9.58,2.18,0.87,6.286,4.0,1.571,1.429,0.571,28.21,6.41
2026,regular,684007,Shota Imanaga,CHC,7,41.333,12.0,11.0,25.0,3.0,10.0,43.0,159.0,645.0,412.0,2.4,0.847,9.36,2.18,0.65,6.143,3.571,1.571,1.429,0.429,27.04,6.29
2026,regular,693433,Bryan Woo,SEA,7,41.0,23.0,21.0,38.0,6.0,6.0,29.0,166.0,567.0,386.0,4.61,1.073,6.37,1.32,1.32,4.143,5.429,3.0,0.857,0.857,17.47,3.61
2026,regular,695505,Chase Burns,CIN,7,41.0,10.0,10.0,29.0,5.0,13.0,46.0,161.0,632.0,402.0,2.2,1.024,10.1,2.85,1.1,6.571,4.143,1.429,1.857,0.714,28.57,8.07
2026,regular,656605,Mitch Keller,PIT,7,41.0,13.0,13.0,31.0,1.0,12.0,31.0,163.0,616.0,396.0,2.85,1.049,6.8,2.63,0.22,4.429,4.429,1.857,1.714,0.143,19.02,7.36
2026,regular,671737,Taj Bradley,MIN,7,41.0,13.0,13.0,35.0,5.0,15.0,44.0,174.0,708.0,439.0,2.85,1.22,9.66,3.29,1.1,6.286,5.0,1.857,2.143,0.714,25.29,8.62
2026,regular,666200,Jesús Luzardo,PHI,7,40.667,24.0,23.0,43.0,4.0,9.0,51.0,172.0,672.0,434.0,5.09,1.279,11.29,1.99,0.89,7.286,6.143,3.286,1.286,0.571,29.65,5.23
2026,regular,592332,Kevin Gausman,TOR,7,40.667,15.0,14.0,31.0,5.0,8.0,40.0,161.0,624.0,417.0,3.1,0.959,8.85,1.77,1.11,5.714,4.429,2.0,1.143,0.714,24.84,4.97
2026,regular,663460,Kris Bubic,KCR,7,40.667,15.0,15.0,27.0,3.0,19.0,42.0,163.0,631.0,398.0,3.32,1.131,9.3,4.2,0.66,6.0,3.857,2.143,2.714,0.429,25.77,11.66
2026,regular,650911,Cristopher Sánchez,PHI,7,40.333,18.0,13.0,48.0,3.0,13.0,50.0,180.0,649.0,433.0,2.9,1.512,11.16,2.9,0.67,7.143,6.857,1.857,1.857,0.429,27.78,7.22
2026,regular,664285,Framber Valdez,DET,7,40.333,16.0,15.0,37.0,2.0,14.0,32.0,173.0,634.0,422.0,3.35,1.264,7.14,3.12,0.45,4.571,5.286,2.143,2.0,0.286,18.5,8.09
2026,regular,672282,Reid Detmers,LAA,7,40.0,20.0,19.0,37.0,3.0,9.0,44.0,168.0,668.0,447.0,4.27,1.15,9.9,2.02,0.67,6.286,5.286,2.714,1.286,0.429,26.19,5.36
2026,regular,656492,Foster Griffin,WSN,7,39.667,13.0,10.0,29.0,5.0,14.0,33.0,163.0,638.0,400.0,2.27,1.084,7.49,3.18,1.13,4.714,4.143,1.429,2.0,0.714,20.25,8.59
2026,regular,694738,Landen Roupp,SFG,7,39.667,16.0,14.0,26.0,1.0,16.0,43.0,159.0,660.0,400.0,3.18,1.059,9.76,3.63,0.23,6.143,3.714,2.0,2.286,0.143,27.04,10.06
2026,regular,650633,Michael King,SDP,7,39.667,14.0,13.0,27.0,3.0,18.0,39.0,159.0,646.0,390.0,2.95,1.134,8.85,4.08,0.68,5.571,3.857,1.857,2.571,0.429,24.53,11.32
2026,regular,543135,Nathan Eovaldi,TEX,7,39.667,23.0,21.0,43.0,9.0,10.0,39.0,173.0,628.0,418.0,4.76,1.336,8.85,2.27,2.04,5.571,6.143,3.0,1.429,1.286,22.54,5.78
2026,regular,592662,Robbie Ray,SFG,7,39.667,13.0,13.0,28.0,7.0,14.0,40.0,157.0,680.0,424.0,2.95,1.059,9.08,3.18,1.59,5.714,4.0,1.857,2.0,1.0,25.48,8.92
2026,regular,680732,Sean Burke,CHW,7,39.667,13.0,12.0,32.0,3.0,8.0,32.0,156.0,625.0,422.0,2.72,1.008,7.26,1.82,0.68,4.571,4.571,1.714,1.143,0.429,20.51,5.13
2026,regular,669358,Shane Baz,BAL,7,39.667,23.0,22.0,45.0,4.0,16.0,33.0,176.0,666.0,418.0,4.99,1.538,7.49,3.63,0.91,4.714,6.429,3.143,2.286,0.571,18.75,9.09
2026,regular,700241,Michael McGreevy,STL,7,39.333,11.0,11.0,28.0,5.0,8.0,24.0,147.0,615.0,376.0,2.52,0.915,5.49,1.83,1.14,3.429,4.0,1.571,1.143,0.714,16.33,5.44
2026,regular,690997,Nolan McLean,NYM,7,39.333,15.0,13.0,26.0,2.0,11.0,51.0,153.0,640.0,405.0,2.97,0.941,11.67,2.52,0.46,7.286,3.714,1.857,1.571,0.286,33.33,7.19
2026,regular,681190,Randy Vásquez,SDP,7,39.333,14.0,14.0,33.0,4.0,13.0,36.0,161.0,629.0,409.0,3.2,1.169,8.24,2.97,0.92,5.143,4.714,2.0,1.857,0.571,22.36,8.07
2026,regular,676440,Tanner Bibee,CLE,8,39.333,20.0,20.0,42.0,6.0,16.0,36.0,172.0,693.0,437.0,4.58,1.475,8.24,3.66,1.37,4.5,5.25,2.5,2.0,0.75,20.93,9.3
2026,regular,624133,Ranger Suarez,BOS,7,39.0,12.0,12.0,27.0,3.0,10.0,32.0,148.0,574.0,361.0,2.77,0.949,7.38,2.31,0.69,4.571,3.857,1.714,1.429,0.429,21.62,6.76
2026,regular,605488,Jeffrey Springs,ATH,7,38.667,17.0,17.0,30.0,6.0,12.0,35.0,158.0,612.0,387.0,3.96,1.086,8.15,2.79,1.4,5.0,4.286,2.429,1.714,0.857,22.15,7.59
