playerId,player,team,role,batterGames,pitcherGames,bvpPlateAppearances
676879,Aaron Ashby,MIL,pitcher,0,17,0
607481,Aaron Bummer,ATL,pitcher,0,16,0
650644,Aaron Civale,ATH,pitcher,0,7,0
592450,Aaron Judge,NYY,batter,37,0,0
605400,Aaron Nola,PHI,pitcher,0,7,0
682842,Abner Uribe,MIL,pitcher,0,15,0
624428,Adam Frazier,LAA,two-way,27,1,0
680718,Addison Barger,TOR,batter,8,0,0
668939,Adley Rutschman,BAL,batter,22,0,0
666969,Adolis García,PHI,batter,36,0,0
680728,Adrian Del Castillo,ARI,batter,20,0,0
605288,Adrian Houser,SFG,pitcher,0,7,0
670970,Adrian Morejon,SDP,pitcher,0,16,0
682663,Agustín Ramírez,MIA,batter,31,0,0
805123,AJ Blubaugh,HOU,pitcher,0,14,0
660604,Alan Rangel,PHI,pitcher,0,1,0
544150,Albert Suárez,BAL,pitcher,0,6,0
664761,Alec Bohm,PHI,batter,35,0,0
676475,Alec Burleson,STL,batter,35,0,0
687941,Alec Gamboa,BOS,pitcher,0,1,0
672386,Alejandro Kirk,TOR,batter,5,0,0
696030,Alejandro Osuna,TEX,batter,11,0,0
689690,Alek Jacob,SDP,pitcher,0,1,0
677950,Alek Thomas,ARI,batter,27,0,0
608324,Alex Bregman,CHC,batter,37,0,0
669743,Alex Call,LAD,batter,16,0,0
690976,Alex Freeland,LAD,batter,31,0,0
695380,Alex Hoppe,SEA,pitcher,0,3,0
656638,Alex Lange,KCR,pitcher,0,14,0
681911,Alex Vesia,LAD,pitcher,0,15,0
642708,Amed Rosario,NYY,batter,21,0,0
701552,Andre Granillo,WSN,pitcher,0,8,0
669467,Andre Pallante,STL,pitcher,0,7,0
671096,Andrew Abbott,CIN,pitcher,0,8,0
674841,Andrew Alvarez,WSN,pitcher,0,1,0
643217,Andrew Benintendi,CHW,batter,35,0,0
694851,Andrew Hoffmann,ARI,pitcher,0,8,0
552640,Andrew Kittredge,BAL,pitcher,0,5,0
457705,Andrew McCutchen,TEX,batter,24,0,0
702193,Andrew Morris,MIN,pitcher,0,7,0
677053,Andrew Nardi,MIA,pitcher,0,15,0
691725,Andrew Painter,PHI,pitcher,0,6,0
683734,Andrew Vaughn,MIL,batter,3,0,0
655316,Andruw Monasterio,BOS,batter,19,0,0
665953,Andrés Chaparro,WSN,batter,4,0,0
665926,Andrés Giménez,TOR,batter,34,0,0
662253,Andrés Muñoz,SEA,pitcher,0,16,0
628451,Andy Ibáñez,NYM,batter,12,0,0
681624,Andy Pages,LAD,batter,37,0,0
683409,Angel Chivilli,NYY,pitcher,0,2,0
682657,Angel Martínez,CLE,batter,34,0,0
672582,Angel Zerpa,MIL,pitcher,0,12,0
607455,Anthony Banda,MIN,pitcher,0,17,0
669622,Anthony Bender,MIA,pitcher,0,16,0
641743,Anthony Kay,CHW,pitcher,0,7,0
683627,Anthony Molina,ATL,pitcher,0,1,0
689296,Anthony Nunez,BAL,pitcher,0,17,0
622608,Antonio Senzatela,COL,pitcher,0,10,0
605244,Aramis Garcia,ARI,batter,3,0,0
547973,Aroldis Chapman,BOS,two-way,2,12,0
669720,Austin Hays,CHW,batter,12,0,0
595978,Austin Hedges,CLE,two-way,15,1,0
668885,Austin Martin,MIN,batter,31,0,0
663586,Austin Riley,ATL,batter,38,0,0
596103,Austin Slater,NYM,batter,17,0,0
608723,Austin Voth,TOR,pitcher,0,1,0
681810,Austin Warren,NYM,pitcher,0,5,0
669224,Austin Wells,NYY,batter,29,0,0
642851,Austin Wynns,ATH,batter,14,0,0
663559,Bailey Falter,KCR,pitcher,0,2,0
641927,Bailey Ober,MIN,pitcher,0,8,0
676962,Ben Brown,CHC,pitcher,0,12,0
676508,Ben Casparius,LAD,pitcher,0,5,0
700250,Ben Rice,NYY,batter,33,0,0
810938,Ben Williamson,TBR,two-way,32,1,0
656986,Bennett Sousa,HOU,pitcher,0,5,0
695257,Billy Cook,PIT,batter,24,0,0
694918,Blade Tidwell,SFG,pitcher,0,8,0
694362,Blake Dunn,CIN,batter,3,0,0
663368,Blake Perkins,MIL,batter,19,0,0
595014,Blake Treinen,LAD,pitcher,0,14,0
677942,Blaze Alexander,BAL,batter,31,0,0
666182,Bo Bichette,NYM,batter,36,0,0
666310,Bo Naylor,CLE,batter,27,0,0
677951,Bobby Witt Jr.,KCR,batter,37,0,0
641745,Brad Keller,PHI,pitcher,0,16,0
695418,Brad Lord,WSN,two-way,1,11,0
669699,Braden Shewmake,HOU,batter,8,0,0
699134,Bradgley Rodriguez,SDP,pitcher,0,15,0
669620,Brady Basso,ATH,pitcher,0,3,0
691781,Brady House,WSN,batter,33,0,0
663903,Brady Singer,CIN,pitcher,0,8,0
685126,Brandon Eisert,CHW,pitcher,0,2,0
663604,Brandon Lockridge,MIL,batter,27,0,0
664040,Brandon Lowe,PIT,batter,31,0,0
669016,Brandon Marsh,PHI,batter,33,0,0
607043,Brandon Nimmo,TEX,batter,34,0,0
694297,Brandon Pfaadt,ARI,pitcher,0,7,0
687075,Brandon Sproat,MIL,pitcher,0,7,0
678218,Brandon Valenzuela,TOR,batter,20,0,0
682227,Brandon Williamson,CIN,pitcher,0,6,0
605540,Brandon Woodruff,MIL,pitcher,0,6,0
687064,Brandon Young,BAL,pitcher,0,4,0
805299,Brandyn Garcia,ARI,pitcher,0,2,0
676428,Brant Hurter,DET,pitcher,0,15,0
677952,Braxton Ashcraft,PIT,pitcher,0,7,0
690924,Braxton Fulford,COL,batter,3,0,0
678394,Brayan Bello,BOS,pitcher,0,7,0
677587,Brayan Rocchio,CLE,batter,36,0,0
680755,Braydon Fisher,TOR,pitcher,0,18,0
669724,Brenan Hanifee,DET,pitcher,0,4,0
680977,Brendan Donovan,SEA,batter,18,0,0
663893,Brendon Little,TOR,pitcher,0,5,0
657514,Brennan Bernardino,COL,pitcher,0,16,0
687396,Brent Headrick,NYY,pitcher,0,19,0
667670,Brent Rooker,ATH,batter,20,0,0
608718,Brent Suter,LAA,pitcher,0,14,0
686668,Brenton Doyle,COL,batter,34,0,0
683146,Brett Baty,NYM,batter,33,0,0
695391,Brett Harris,ATH,batter,3,0,0
664954,Brett Sullivan,COL,batter,19,0,0
702153,Brian Fitzpatrick,MIL,pitcher,0,3,0
694728,Brice Matthews,HOU,batter,29,0,0
668930,Brice Turang,MIL,batter,32,0,0
656271,Brock Burke,CIN,pitcher,0,18,0
592779,Brock Stewart,LAD,pitcher,0,1,0
686797,Brooks Lee,MIN,batter,34,0,0
548384,Brooks Raley,NYM,pitcher,0,15,0
650556,Bryan Abreu,HOU,pitcher,0,13,0
641329,Bryan Baker,TBR,pitcher,0,16,0
663542,Bryan Hudson,CHW,pitcher,0,18,0
687911,Bryan King,HOU,pitcher,0,13,0
668804,Bryan Reynolds,PIT,batter,37,0,0
693433,Bryan Woo,SEA,pitcher,0,8,0
693821,Bryce Elder,ATL,pitcher,0,8,0
805811,Bryce Eldridge,SFG,batter,3,0,0
547180,Bryce Harper,PHI,batter,37,0,0
669369,Bryce Johnson,SDP,batter,19,0,0
669326,Bryce Teodosio,LAA,batter,29,0,0
681082,Bryson Stott,PHI,batter,31,0,0
696149,Bubba Chandler,PIT,pitcher,0,7,0
572143,Burch Smith,DET,pitcher,0,7,0
621439,Byron Buxton,MIN,batter,34,0,0
676917,Cade Cavalli,WSN,pitcher,0,8,0
806188,Cade Gibson,MIA,pitcher,0,1,0
690990,Cade Horton,CHC,pitcher,0,2,0
700249,Cade Povich,BAL,pitcher,0,3,0
671922,Cade Smith,CLE,pitcher,0,16,0
615698,Cal Quantrill,TEX,pitcher,0,4,0
663728,Cal Raleigh,SEA,batter,35,0,0
702332,Caleb Durbin,BOS,batter,35,0,0
668873,Caleb Kilian,SFG,pitcher,0,15,0
573204,Caleb Thielbar,CHC,two-way,1,11,0
676534,Calvin Faucher,MIA,pitcher,0,15,0
676742,Cam Sanders,PIT,pitcher,0,3,0
693645,Cam Schlittler,NYY,pitcher,0,8,0
701358,Cam Smith,HOU,batter,37,0,0
671382,Cameron Foster,BAL,pitcher,0,5,0
666808,Camilo Doval,NYY,pitcher,0,15,0
605218,Carl Edwards Jr.,NYM,pitcher,0,2,0
471911,Carlos Carrasco,ATL,pitcher,0,2,0
621043,Carlos Correa,HOU,batter,32,0,0
666126,Carlos Cortes,ATH,batter,28,0,0
608032,Carlos Estévez,KCR,two-way,1,1,0
665966,Carlos Narváez,BOS,batter,23,0,0
692230,Carlos Rodriguez,MIL,pitcher,0,2,0
467793,Carlos Santana,ARI,batter,8,0,0
669387,Carmen Mlodzinski,PIT,pitcher,0,7,0
701807,Carson Benge,NYM,batter,33,0,0
608348,Carson Kelly,CHC,batter,27,0,0
700246,Carson Williams,TBR,batter,7,0,0
691945,Carter Baumler,TEX,pitcher,0,4,0
695600,Carter Jensen,KCR,batter,34,0,0
668984,Casey Legumina,TBR,pitcher,0,12,0
663554,Casey Mize,DET,pitcher,0,6,0
669477,Casey Schmitt,SFG,batter,31,0,0
678882,Ceddanne Rafaela,BOS,batter,35,0,0
656775,Cedric Mullins,TBR,batter,32,0,0
694477,Chad Patrick,MIL,pitcher,0,7,0
802415,Chandler Simpson,TBR,batter,36,0,0
656212,Charlie Barnes,CHC,pitcher,0,1,0
695505,Chase Burns,CIN,pitcher,0,7,0
800050,Chase DeLauter,CLE,batter,34,0,0
801403,Chase Dollander,COL,pitcher,0,8,0
695445,Chase Lee,TOR,pitcher,0,1,0
805367,Chase Meidroth,CHW,batter,35,0,0
695534,Chase Petty,CIN,pitcher,0,1,0
663767,Chase Shugart,PHI,pitcher,0,10,0
681217,Chase Silseth,LAA,pitcher,0,17,0
605135,Chris Bassitt,BAL,pitcher,0,7,0
606965,Chris Devenski,PIT,pitcher,0,3,0
455119,Chris Martin,TEX,pitcher,0,8,0
669684,Chris Murphy,CHW,pitcher,0,6,0
663978,Chris Paddack,MIA,pitcher,0,7,0
688297,Chris Roycroft,STL,pitcher,0,5,0
519242,Chris Sale,ATL,pitcher,0,7,0
683766,Christian Koss,SFG,two-way,7,1,0
685005,Christian Roa,HOU,pitcher,0,7,0
681035,Christian Scott,NYM,pitcher,0,2,0
543877,Christian Vázquez,HOU,batter,20,0,0
572233,Christian Walker,HOU,batter,38,0,0
592885,Christian Yelich,MIL,batter,15,0,0
666624,Christopher Morel,MIA,batter,6,0,0
672335,Cionel Pérez,WSN,pitcher,0,16,0
682928,CJ Abrams,WSN,batter,36,0,0
692216,CJ Kayfus,CLE,batter,9,0,0
605280,Clay Holmes,NYM,pitcher,0,7,0
690925,Clayton Beeter,WSN,pitcher,0,10,0
691723,Coby Mayo,BAL,batter,31,0,0
641355,Cody Bellinger,NYY,batter,36,0,0
675989,Cody Bolton,HOU,pitcher,0,5,0
689520,Cody Laweryson,MIN,pitcher,0,5,0
664074,Cody Ponce,TOR,pitcher,0,1,0
687515,Colby Thomas,ATH,batter,8,0,0
669371,Cole Henry,WSN,pitcher,0,7,0
666142,Cole Ragans,KCR,pitcher,0,8,0
663485,Cole Sands,MIN,pitcher,0,12,0
642121,Cole Sulser,TBR,pitcher,0,15,0
677961,Cole Wilcox,SEA,pitcher,0,11,0
668390,Cole Winn,TEX,pitcher,0,15,0
702284,Cole Young,SEA,batter,38,0,0
689441,Coleman Crow,MIL,pitcher,0,1,0
670059,Colin Holderman,CLE,pitcher,0,7,0
607067,Colin Rea,CHC,pitcher,0,8,0
695657,Colson Montgomery,CHW,batter,37,0,0
690993,Colt Keith,DET,batter,33,0,0
681297,Colton Cowser,BAL,batter,31,0,0
676467,Colton Gordon,HOU,pitcher,0,4,0
813349,Connelly Early,BOS,pitcher,0,7,0
641401,Connor Brogdon,CLE,pitcher,0,14,0
656582,Connor Joe,SEA,batter,10,0,0
681393,Connor Norby,MIA,batter,34,0,0
683175,Connor Phillips,CIN,pitcher,0,18,0
687570,Connor Prielipp,MIN,pitcher,0,3,0
657756,Connor Seabold,DET,pitcher,0,8,0
657136,Connor Wong,BOS,batter,15,0,0
681867,Cooper Criswell,SEA,pitcher,0,13,0
682998,Corbin Carroll,ARI,batter,33,0,0
656686,Corbin Martin,CHC,pitcher,0,7,0
608369,Corey Seager,TEX,batter,35,0,0
518886,Craig Kimbrel,NYM,pitcher,0,8,0
664299,Cristian Javier,HOU,pitcher,0,3,0
650911,Cristopher Sánchez,PHI,pitcher,0,8,0
678554,Curtis Mead,WSN,batter,28,0,0
693409,César Prieto,STL,batter,1,0,0
663967,César Salazar,HOU,two-way,1,1,0
687221,Dalton Rushing,LAD,batter,19,0,0
667472,Dane Myers,CIN,batter,31,0,0
669288,Daniel Johnson,HOU,batter,8,0,0
663738,Daniel Lynch IV,KCR,pitcher,0,14,0
694037,Daniel Palencia,CHC,two-way,1,6,0
682177,Daniel Schneemann,CLE,batter,31,0,0
691740,Daniel Susac,SFG,batter,11,0,0
543056,Danny Coulombe,BOS,pitcher,0,12,0
643376,Danny Jansen,TEX,batter,24,0,0
621020,Dansby Swanson,CHC,batter,36,0,0
687231,Darell Hernaiz,ATH,batter,23,0,0
662139,Daulton Varsho,TOR,batter,35,0,0
670280,David Bednar,NYY,pitcher,0,15,0
681807,David Fry,CLE,batter,22,0,0
666152,David Hamilton,MIL,batter,30,0,0
688158,David Morgan,SDP,pitcher,0,11,0
656849,David Peterson,NYM,pitcher,0,8,0
663436,Davis Martin,CHW,pitcher,0,7,0
676914,Davis Schneider,TOR,batter,28,0,0
690978,Dax Fulton,MIA,pitcher,0,1,0
695734,Daylen Lile,WSN,batter,36,0,0
665152,Dean Kremer,BAL,pitcher,0,2,0
642701,Dennis Santana,PIT,pitcher,0,16,0
672016,Denzel Clarke,ATH,batter,22,0,0
656537,Derek Hill,CHW,batter,30,0,0
642207,Devin Williams,NYM,two-way,1,14,0
691277,Deyvison De Los Santos,MIA,batter,3,0,0
800311,Didier Fuentes,ATL,two-way,1,6,0
608650,Dietrich Enns,BAL,pitcher,0,5,0
693307,Dillon Dingler,DET,batter,32,0,0
669084,DL Hall,MIL,pitcher,0,15,0
686527,Dominic Canzone,SEA,batter,32,0,0
642086,Dominic Smith,ATL,batter,28,0,0
680951,Doug Nikhazy,CHW,pitcher,0,1,0
686948,Drake Baldwin,ATL,batter,38,0,0
623454,Drew Anderson,DET,pitcher,0,12,0
687551,Drew Gilbert,SFG,batter,19,0,0
686452,Drew Millas,WSN,batter,25,0,0
519141,Drew Pomeranz,LAA,pitcher,0,16,0
656876,Drew Rasmussen,TBR,pitcher,0,7,0
691011,Drew Romo,CHW,batter,7,0,0
701474,Duncan Davitt,CHW,pitcher,0,1,0
687957,Dustin Harris,HOU,batter,17,0,0
669160,Dustin May,STL,pitcher,0,7,0
687637,Dylan Beavers,BAL,batter,29,0,0
666185,Dylan Carlson,CHC,batter,3,0,0
656302,Dylan Cease,TOR,pitcher,0,7,0
689266,Dylan Dodd,ATL,pitcher,0,2,0
669276,Dylan Lee,ATL,pitcher,0,18,0
664238,Dylan Moore,PHI,two-way,13,2,0
668834,Easton McGee,MIL,pitcher,0,2,0
700337,Edgar Quero,CHW,batter,27,0,0
683618,Edgardo Henriquez,LAD,pitcher,0,12,0
624641,Edmundo Sosa,PHI,batter,19,0,0
666397,Edouard Julien,COL,batter,31,0,0
660825,Eduard Bazardo,SEA,pitcher,0,18,0
700842,Eduardo Rivera,BOS,pitcher,0,1,0
593958,Eduardo Rodriguez,ARI,pitcher,0,7,0
665795,Edward Cabrera,CHC,pitcher,0,7,0
621242,Edwin Díaz,LAD,pitcher,0,7,0
669212,Eli Morgan,KCR,pitcher,0,7,0
642201,Eli White,ATL,batter,24,0,0
553869,Elias Díaz,KCR,batter,5,0,0
682829,Elly De La Cruz,CIN,batter,37,0,0
695684,Elmer Rodríguez,NYY,pitcher,0,2,0
650391,Eloy Jiménez,TOR,batter,12,0,0
665660,Elvis Alvarado,ATH,pitcher,0,10,0
676106,Emerson Hancock,SEA,pitcher,0,7,0
641941,Emilio Pagán,CIN,pitcher,0,15,0
686218,Emmet Sheehan,LAD,pitcher,0,6,0
646241,Enmanuel De Jesus,DET,pitcher,0,9,0
660853,Enyel De Los Santos,HOU,pitcher,0,14,0
672021,Eric Cerantola,KCR,pitcher,0,1,0
606992,Eric Haase,SFG,batter,4,0,0
641778,Eric Lauer,TOR,pitcher,0,7,0
679358,Eric Orze,MIN,pitcher,0,15,0
607200,Erick Fedde,CHW,pitcher,0,7,0
669062,Erik Miller,SFG,pitcher,0,12,0
681870,Erik Sabrowski,CLE,pitcher,0,18,0
676391,Ernie Clement,TOR,batter,36,0,0
665923,Esteury Ruiz,MIA,batter,9,0,0
681799,Ethan Roberts,CHC,pitcher,0,3,0
553993,Eugenio Suárez,CIN,batter,25,0,0
691587,Eury Pérez,MIA,pitcher,0,8,0
694497,Evan Carter,TEX,batter,36,0,0
681895,Evan Sisk,PIT,pitcher,0,10,0
677592,Everson Pereira,CHW,batter,18,0,0
677649,Ezequiel Duran,TEX,batter,28,0,0
