season,seasonPhase,date,gamePk,side,team,opponent,teamName,runs,hits,homeRuns,strikeOuts,baseOnBalls,atBats,totalBases,leftOnBase,pitchingRuns,pitchingHits,pitchingStrikeOuts,pitchingBaseOnBalls,pitchingHomeRuns
2026,regular,2026-03-25,823244,away,NYY,SFG,New York Yankees,7,10,0,12,3,36,12,15,0,3,6,2,0
2026,regular,2026-03-25,823244,home,SFG,NYY,San Francisco Giants,0,3,0,6,2,31,3,13,7,10,12,3,0
2026,regular,2026-03-26,823649,away,PIT,NYM,Pittsburgh Pirates,7,10,3,10,0,37,22,8,11,11,10,9,2
2026,regular,2026-03-26,823649,home,NYM,PIT,New York Mets,11,11,2,10,9,34,20,19,7,10,10,0,3
2026,regular,2026-03-26,823812,away,CHW,MIL,Chicago White Sox,2,4,2,20,5,31,10,16,14,12,3,10,2
2026,regular,2026-03-26,823812,home,MIL,CHW,Milwaukee Brewers,14,12,2,3,10,33,20,18,2,4,20,5,2
2026,regular,2026-03-26,824704,away,WSN,CHC,Washington Nationals,10,11,3,12,2,37,21,8,4,8,9,6,0
2026,regular,2026-03-26,824704,home,CHC,WSN,Chicago Cubs,4,8,0,9,6,34,10,26,10,11,12,2,3
2026,regular,2026-03-26,824865,away,MIN,BAL,Minnesota Twins,1,5,0,9,4,29,7,18,2,5,8,3,0
2026,regular,2026-03-26,824865,home,BAL,MIN,Baltimore Orioles,2,5,0,8,3,28,6,7,1,5,9,4,0
2026,regular,2026-03-26,824541,away,BOS,CIN,Boston Red Sox,3,12,0,7,3,36,13,20,0,4,12,3,0
2026,regular,2026-03-26,824541,home,CIN,BOS,Cincinnati Reds,0,4,0,12,3,32,6,17,3,12,7,3,0
2026,regular,2026-03-26,824218,away,LAA,HOU,Los Angeles Angels,3,9,2,14,6,36,15,22,0,3,9,6,0
2026,regular,2026-03-26,824218,home,HOU,LAA,Houston Astros,0,3,0,9,6,30,5,14,3,9,14,6,2
2026,regular,2026-03-26,823325,away,DET,SDP,Detroit Tigers,8,12,1,10,4,39,17,14,2,5,7,3,1
2026,regular,2026-03-26,823325,home,SDP,DET,San Diego Padres,2,5,1,7,3,33,9,13,8,12,10,4,1
2026,regular,2026-03-26,823081,away,TBR,STL,Tampa Bay Rays,7,17,1,5,6,43,20,26,9,14,3,1,2
2026,regular,2026-03-26,823081,home,STL,TBR,St. Louis Cardinals,9,14,2,3,1,37,22,14,7,17,5,6,1
2026,regular,2026-03-26,823486,away,TEX,PHI,Texas Rangers,3,8,1,11,1,35,12,10,5,10,10,1,2
2026,regular,2026-03-26,823486,home,PHI,TEX,Philadelphia Phillies,5,10,2,10,1,34,18,13,3,8,11,1,1
2026,regular,2026-03-26,823974,away,ARI,LAD,Arizona Diamondbacks,2,6,1,8,0,31,10,5,8,10,4,5,2
2026,regular,2026-03-26,823974,home,LAD,ARI,Los Angeles Dodgers,8,10,2,4,5,33,17,19,2,6,8,0,1
2026,regular,2026-03-26,823163,away,CLE,SEA,Cleveland Guardians,6,12,2,11,2,38,22,16,4,6,14,2,4
2026,regular,2026-03-26,823163,home,SEA,CLE,Seattle Mariners,4,6,4,14,2,32,20,5,6,12,11,2,2
2026,regular,2026-03-27,823243,away,NYY,SFG,New York Yankees,3,8,2,7,3,34,15,15,0,1,13,2,0
2026,regular,2026-03-27,823243,home,SFG,NYY,San Francisco Giants,0,1,0,13,2,28,2,5,3,8,7,3,2
2026,regular,2026-03-27,822839,away,ATH,TOR,Athletics,2,3,2,16,2,30,9,7,3,7,3,4,0
2026,regular,2026-03-27,822839,home,TOR,ATH,Toronto Blue Jays,3,7,0,3,4,32,11,9,2,3,16,2,2
2026,regular,2026-03-27,823893,away,COL,MIA,Colorado Rockies,1,7,0,9,2,32,7,11,2,8,4,2,0
2026,regular,2026-03-27,823893,home,MIA,COL,Miami Marlins,2,8,0,4,2,32,11,17,1,7,9,2,0
2026,regular,2026-03-27,824946,away,KCR,ATL,Kansas City Royals,0,5,0,8,3,30,5,14,6,11,10,4,3
2026,regular,2026-03-27,824946,home,ATL,KCR,Atlanta Braves,6,11,3,10,4,34,22,13,0,5,8,3,0
2026,regular,2026-03-27,824216,away,LAA,HOU,Los Angeles Angels,6,11,3,11,6,36,22,23,2,8,10,3,1
2026,regular,2026-03-27,824216,home,HOU,LAA,Houston Astros,2,8,1,10,3,35,12,14,6,11,11,6,3
2026,regular,2026-03-27,823324,away,DET,SDP,Detroit Tigers,5,6,0,9,8,31,6,24,2,8,12,2,0
2026,regular,2026-03-27,823324,home,SDP,DET,San Diego Padres,2,8,0,12,2,34,11,21,5,6,9,8,0
2026,regular,2026-03-27,823162,away,CLE,SEA,Cleveland Guardians,1,4,1,9,3,30,7,13,5,3,10,7,2
2026,regular,2026-03-27,823162,home,SEA,CLE,Seattle Mariners,5,3,2,10,7,26,11,12,1,4,9,3,1
2026,regular,2026-03-27,823971,away,ARI,LAD,Arizona Diamondbacks,4,8,1,12,4,33,15,14,5,4,5,3,2
