season,seasonPhase,team,teamName,games,runs,hits,homeRuns,strikeouts,walks,atBats,totalBases,runsPerGame,hitsPerGame,homeRunsPerGame,strikeoutsPerGame,walksPerGame,runsAllowed,hitsAllowed,pitchingStrikeouts,pitchingWalks,pitchingHomeRuns,runsAllowedPerGame,hitsAllowedPerGame,pitchingStrikeoutsPerGame,pitchingWalksPerGame,pitchingHomeRunsPerGame
2026,regular,ARI,Arizona Diamondbacks,33,150.0,272.0,34.0,267.0,87.0,1103.0,454.0,4.545,8.242,1.03,8.091,2.636,181.0,292.0,242.0,116.0,42.0,5.485,8.848,7.333,3.515,1.273
2026,regular,ATH,Athletics,34,149.0,293.0,38.0,293.0,127.0,1161.0,470.0,4.382,8.618,1.118,8.618,3.735,159.0,289.0,270.0,156.0,42.0,4.676,8.5,7.941,4.588,1.235
2026,regular,ATL,Atlanta Braves,36,209.0,343.0,54.0,273.0,117.0,1246.0,583.0,5.806,9.528,1.5,7.583,3.25,129.0,255.0,308.0,128.0,36.0,3.583,7.083,8.556,3.556,1.0
2026,regular,BAL,Baltimore Orioles,35,155.0,270.0,39.0,321.0,139.0,1158.0,447.0,4.429,7.714,1.114,9.171,3.971,196.0,333.0,289.0,130.0,45.0,5.6,9.514,8.257,3.714,1.286
2026,regular,BOS,Boston Red Sox,35,135.0,279.0,24.0,291.0,117.0,1175.0,417.0,3.857,7.971,0.686,8.314,3.343,153.0,289.0,279.0,116.0,44.0,4.371,8.257,7.971,3.314,1.257
2026,regular,CHC,Chicago Cubs,35,190.0,310.0,46.0,282.0,161.0,1196.0,516.0,5.429,8.857,1.314,8.057,4.6,147.0,266.0,290.0,104.0,41.0,4.2,7.6,8.286,2.971,1.171
2026,regular,CHW,Chicago White Sox,35,150.0,268.0,44.0,328.0,139.0,1159.0,448.0,4.286,7.657,1.257,9.371,3.971,159.0,280.0,284.0,147.0,34.0,4.543,8.0,8.114,4.2,0.971
2026,regular,CIN,Cincinnati Reds,35,145.0,254.0,46.0,327.0,137.0,1157.0,446.0,4.143,7.257,1.314,9.343,3.914,168.0,303.0,273.0,166.0,38.0,4.8,8.657,7.8,4.743,1.086
2026,regular,CLE,Cleveland Guardians,36,148.0,275.0,37.0,273.0,140.0,1181.0,451.0,4.111,7.639,1.028,7.583,3.889,155.0,279.0,324.0,123.0,45.0,4.306,7.75,9.0,3.417,1.25
2026,regular,COL,Colorado Rockies,36,152.0,304.0,35.0,346.0,110.0,1215.0,486.0,4.222,8.444,0.972,9.611,3.056,176.0,325.0,280.0,117.0,49.0,4.889,9.028,7.778,3.25,1.361
2026,regular,DET,Detroit Tigers,36,162.0,296.0,35.0,298.0,135.0,1197.0,479.0,4.5,8.222,0.972,8.278,3.75,145.0,285.0,297.0,125.0,29.0,4.028,7.917,8.25,3.472,0.806
2026,regular,HOU,Houston Astros,36,181.0,331.0,44.0,284.0,139.0,1239.0,540.0,5.028,9.194,1.222,7.889,3.861,209.0,321.0,326.0,192.0,50.0,5.806,8.917,9.056,5.333,1.389
2026,regular,KCR,Kansas City Royals,35,146.0,279.0,35.0,296.0,126.0,1162.0,450.0,4.171,7.971,1.0,8.457,3.6,159.0,276.0,299.0,148.0,41.0,4.543,7.886,8.543,4.229,1.171
2026,regular,LAA,Los Angeles Angels,36,158.0,279.0,43.0,361.0,142.0,1205.0,460.0,4.389,7.75,1.194,10.028,3.944,179.0,293.0,317.0,165.0,35.0,4.972,8.139,8.806,4.583,0.972
2026,regular,LAD,Los Angeles Dodgers,35,183.0,324.0,47.0,279.0,139.0,1186.0,525.0,5.229,9.257,1.343,7.971,3.971,115.0,241.0,310.0,105.0,31.0,3.286,6.886,8.857,3.0,0.886
2026,regular,MIA,Miami Marlins,35,146.0,291.0,25.0,290.0,122.0,1159.0,437.0,4.171,8.314,0.714,8.286,3.486,148.0,256.0,293.0,125.0,30.0,4.229,7.314,8.371,3.571,0.857
2026,regular,MIL,Milwaukee Brewers,34,175.0,275.0,23.0,269.0,159.0,1141.0,408.0,5.147,8.088,0.676,7.912,4.676,133.0,261.0,318.0,122.0,28.0,3.912,7.676,9.353,3.588,0.824
2026,regular,MIN,Minnesota Twins,35,165.0,274.0,40.0,305.0,141.0,1165.0,444.0,4.714,7.829,1.143,8.714,4.029,170.0,296.0,266.0,124.0,33.0,4.857,8.457,7.6,3.543,0.943
2026,regular,NYM,New York Mets,35,122.0,262.0,28.0,278.0,101.0,1168.0,399.0,3.486,7.486,0.8,7.943,2.886,151.0,275.0,333.0,119.0,30.0,4.314,7.857,9.514,3.4,0.857
2026,regular,NYY,New York Yankees,35,192.0,279.0,57.0,302.0,162.0,1149.0,521.0,5.486,7.971,1.629,8.629,4.629,116.0,253.0,305.0,98.0,28.0,3.314,7.229,8.714,2.8,0.8
2026,regular,PHI,Philadelphia Phillies,35,132.0,266.0,36.0,283.0,108.0,1184.0,438.0,3.771,7.6,1.029,8.086,3.086,174.0,343.0,330.0,108.0,33.0,4.971,9.8,9.429,3.086,0.943
2026,regular,PIT,Pittsburgh Pirates,35,180.0,307.0,38.0,327.0,143.0,1215.0,478.0,5.143,8.771,1.086,9.343,4.086,149.0,263.0,330.0,131.0,28.0,4.257,7.514,9.429,3.743,0.8
2026,regular,SDP,San Diego Padres,34,147.0,258.0,33.0,282.0,111.0,1122.0,423.0,4.324,7.588,0.971,8.294,3.265,149.0,275.0,293.0,119.0,30.0,4.382,8.088,8.618,3.5,0.882
2026,regular,SEA,Seattle Mariners,36,148.0,273.0,40.0,326.0,143.0,1187.0,449.0,4.111,7.583,1.111,9.056,3.972,145.0,314.0,297.0,89.0,36.0,4.028,8.722,8.25,2.472,1.0
2026,regular,SFG,San Francisco Giants,35,109.0,284.0,20.0,272.0,72.0,1173.0,420.0,3.114,8.114,0.571,7.771,2.057,142.0,268.0,286.0,130.0,34.0,4.057,7.657,8.171,3.714,0.971
2026,regular,STL,St. Louis Cardinals,35,172.0,286.0,44.0,292.0,127.0,1176.0,475.0,4.914,8.171,1.257,8.343,3.629,169.0,317.0,243.0,134.0,38.0,4.829,9.057,6.943,3.829,1.086
2026,regular,TBR,Tampa Bay Rays,34,152.0,289.0,30.0,246.0,113.0,1144.0,432.0,4.471,8.5,0.882,7.235,3.324,141.0,256.0,267.0,111.0,37.0,4.147,7.529,7.853,3.265,1.088
2026,regular,TEX,Texas Rangers,34,127.0,265.0,31.0,306.0,120.0,1127.0,420.0,3.735,7.794,0.912,9.0,3.529,128.0,260.0,297.0,104.0,39.0,3.765,7.647,8.735,3.059,1.147
2026,regular,TOR,Toronto Blue Jays,35,144.0,299.0,33.0,235.0,100.0,1186.0,458.0,4.114,8.543,0.943,6.714,2.857,162.0,291.0,325.0,112.0,38.0,4.629,8.314,9.286,3.2,1.086
2026,regular,WSN,Washington Nationals,35,180.0,288.0,37.0,307.0,127.0,1205.0,461.0,5.143,8.229,1.057,8.771,3.629,197.0,318.0,268.0,140.0,52.0,5.629,9.086,7.657,4.0,1.486
