season,date,market,player,playerId,team,opponent,pitcher,firstSnapshotAt,latestSnapshotAt,snapshots,firstLine,latestLine,lineMove,line_move,firstAmericanOdds,latestAmericanOdds,oddsMove,odds_move,firstImpliedProbability,latestImpliedProbability,impliedProbabilityMove,movementDirection,movementSummary
2026,2026-05-04T21:41:00Z,batter_total_bases,Bo Bichette (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,-135,105,240.0,240.0,0.57447,0.4878,-0.08666,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Brett Baty (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,-105,-125,-20.0,-20.0,0.5122,0.55556,0.04336,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Carson Benge (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,110,-145,-255.0,-255.0,0.47619,0.59184,0.11565,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Francisco Alvarez (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,-115,-115,0.0,0.0,0.53488,0.53488,0.0,flat,No meaningful odds movement.
2026,2026-05-04T21:41:00Z,batter_total_bases,Juan Soto (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,-115,-115,0.0,0.0,0.53488,0.53488,0.0,flat,No meaningful odds movement.
2026,2026-05-04T21:41:00Z,batter_total_bases,Marcus Semien (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,105,-135,-240.0,-240.0,0.4878,0.57447,0.08666,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Mark Vientos (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,-105,-125,-20.0,-20.0,0.5122,0.55556,0.04336,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,MJ Melendez (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,110,-145,-255.0,-255.0,0.47619,0.59184,0.11565,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Tyrone Taylor (NYM),,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,4,1.5,1.5,0.0,0.0,135,-180,-315.0,-315.0,0.42553,0.64286,0.21733,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Bo Bichette,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,2.5,1.0,1.0,114,100,-14.0,-14.0,0.46729,0.5,0.03271,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Brett Baty,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,163,100,-63.0,-63.0,0.38023,0.5,0.11977,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Carson Benge,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,0.5,0.5,0.0,0.0,-260,100,360.0,360.0,0.72222,0.5,-0.22222,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Francisco Alvarez,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,168,100,-68.0,-68.0,0.37313,0.5,0.12687,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Juan Soto,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,167,100,-67.0,-67.0,0.37453,0.5,0.12547,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Marcus Semien,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,188,100,-88.0,-88.0,0.34722,0.5,0.15278,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Mark Vientos,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,186,100,-86.0,-86.0,0.34965,0.5,0.15035,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,MJ Melendez,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,0.5,0.5,0.0,0.0,-213,100,313.0,313.0,0.68051,0.5,-0.18051,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_hits,Tyrone Taylor,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,0.5,0.5,0.0,0.0,-224,100,324.0,324.0,0.69136,0.5,-0.19136,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Bo Bichette,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,1.5,0.0,0.0,-136,100,236.0,236.0,0.57627,0.5,-0.07627,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Brett Baty,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,-105,100,205.0,205.0,0.5122,0.5,-0.0122,over_price_down,Market moved away from the over / lower implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Carson Benge,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,1.5,0.0,0.0,111,100,-11.0,-11.0,0.47393,0.5,0.02607,over_price_up,Market moved toward the over / higher implied probability.
2026,2026-05-04T21:41:00Z,batter_total_bases,Francisco Alvarez,,,,,2026-05-04T04:28:52.798836+00:00,2026-05-04T04:47:52.843209+00:00,8,1.5,0.5,-1.0,-1.0,-113,100,213.0,213.0,0.53052,0.5,-0.03052,over_price_down,Market moved away from the over / lower implied probability.
