season,seasonPhase,date,gamePk,gameDate,venue,home,away,latitude,longitude,roof,weatherSource,matchedHour,temperatureF,feelsLikeF,humidity,precipitationProbability,precipitation,windMph,windDirection,windGustMph,pressureMsl,cloudCover,parkSurface,updatedAt
2026,regular,2026-03-25,823244,2026-03-26T00:05:00Z,Oracle Park,SFG,NYY,37.7786,-122.3893,open,open_meteo_archive,2026-03-25T00:00,58.6,52.6,32,,,4.0,210,8.5,1017.7,21,grass,2026-05-07T07:54:48.987476+00:00
2026,regular,2026-03-26,823649,2026-03-26T17:15:00Z,Citi Field,NYM,PIT,40.7571,-73.8458,open,open_meteo_archive,2026-03-26T17:00,57.3,54.6,75,,,6.1,147,17.2,1008.2,45,grass,2026-05-07T07:54:49.636723+00:00
2026,regular,2026-03-26,823812,2026-03-26T18:10:00Z,American Family Field,MIL,CHW,43.028,-87.9712,retractable,open_meteo_archive,2026-03-26T18:00,36.4,26.0,91,,0.02,16.5,24,34.7,1015.5,100,turf,2026-05-07T07:54:50.295513+00:00
2026,regular,2026-03-26,824704,2026-03-26T18:20:00Z,Wrigley Field,CHC,WSN,41.9484,-87.6553,open,open_meteo_archive,2026-03-26T18:00,41.8,32.1,87,,0.083,16.4,14,32.4,1011.9,72,grass,2026-05-07T07:54:50.933715+00:00
2026,regular,2026-03-26,824865,2026-03-26T19:05:00Z,Oriole Park at Camden Yards,BAL,MIN,39.284,-76.6217,open,open_meteo_archive,2026-03-26T19:00,74.6,70.7,46,,,11.0,223,24.4,1007.6,98,grass,2026-05-07T07:54:51.575935+00:00
2026,regular,2026-03-26,824541,2026-03-26T20:10:00Z,Great American Ball Park,CIN,BOS,39.0979,-84.5081,open,open_meteo_archive,2026-03-26T20:00,75.7,72.2,57,,,15.4,210,33.3,1006.7,100,grass,2026-05-07T07:54:52.221270+00:00
2026,regular,2026-03-26,824218,2026-03-26T20:10:00Z,Minute Maid Park,HOU,LAA,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-26T20:00,73.6,73.4,68,,,10.6,166,25.1,1016.2,,turf,2026-05-07T07:54:52.879318+00:00
2026,regular,2026-03-26,823325,2026-03-26T20:10:00Z,Petco Park,SDP,DET,32.7073,-117.1566,open,open_meteo_archive,2026-03-26T20:00,64.1,65.5,79,,,2.6,252,9.4,1012.3,,grass,2026-05-07T07:54:53.536014+00:00
2026,regular,2026-03-26,823081,2026-03-26T20:15:00Z,Busch Stadium,STL,TBR,38.6226,-90.1928,open,open_meteo_archive,2026-03-26T20:00,80.3,78.9,48,,,10.4,202,18.8,1005.3,41,grass,2026-05-07T07:54:54.196051+00:00
2026,regular,2026-03-26,823486,2026-03-26T20:15:00Z,Citizens Bank Park,PHI,TEX,39.9061,-75.1665,open,open_meteo_archive,2026-03-26T20:00,69.5,64.5,54,,,13.5,200,27.3,1005.7,49,grass,2026-05-07T07:54:54.871647+00:00
2026,regular,2026-03-26,823974,2026-03-27T00:30:00Z,Dodger Stadium,LAD,ARI,34.0739,-118.24,open,open_meteo_archive,2026-03-26T00:00,59.2,59.8,90,,,3.4,15,7.4,1014.8,,grass,2026-05-07T07:54:55.533908+00:00
2026,regular,2026-03-26,823163,2026-03-27T02:10:00Z,T-Mobile Park,SEA,CLE,47.5914,-122.3325,retractable,open_meteo_archive,2026-03-26T02:00,39.2,33.2,85,,,6.3,193,15.4,1029.8,30,turf,2026-05-07T07:54:56.190234+00:00
2026,regular,2026-03-27,822839,2026-03-27T23:07:00Z,Rogers Centre,TOR,ATH,43.6414,-79.3894,retractable,open_meteo_archive,2026-03-27T23:00,23.3,14.4,52,,,6.3,330,13.0,1029.1,,turf,2026-05-07T07:55:32.036531+00:00
2026,regular,2026-03-27,823893,2026-03-27T23:10:00Z,loanDepot park,MIA,COL,25.7781,-80.2197,retractable,open_meteo_archive,2026-03-27T23:00,73.6,78.1,79,,,4.3,69,8.3,1020.0,3,turf,2026-05-07T07:55:32.699575+00:00
2026,regular,2026-03-27,824946,2026-03-27T23:15:00Z,Truist Park,ATL,KCR,33.8907,-84.4677,open,open_meteo_archive,2026-03-27T23:00,61.1,56.1,75,,,14.1,332,28.4,1021.5,34,grass,2026-05-07T07:55:33.341022+00:00
2026,regular,2026-03-27,824216,2026-03-28T00:15:00Z,Minute Maid Park,HOU,LAA,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-27T00:00,68.4,70.4,84,,,6.8,179,15.2,1017.0,,turf,2026-05-07T07:55:33.977520+00:00
2026,regular,2026-03-27,823324,2026-03-28T01:40:00Z,Petco Park,SDP,DET,32.7073,-117.1566,open,open_meteo_archive,2026-03-27T01:00,60.3,62.6,91,,,0.3,180,1.1,1013.6,,grass,2026-05-07T07:55:34.619369+00:00
2026,regular,2026-03-27,823162,2026-03-28T01:45:00Z,T-Mobile Park,SEA,CLE,47.5914,-122.3325,retractable,open_meteo_archive,2026-03-27T01:00,41.9,37.0,72,,,3.2,20,7.2,1031.4,66,turf,2026-05-07T07:55:35.269512+00:00
2026,regular,2026-03-27,823971,2026-03-28T02:10:00Z,Dodger Stadium,LAD,ARI,34.0739,-118.24,open,open_meteo_archive,2026-03-27T02:00,60.8,62.0,81,,,0.7,180,1.1,1013.3,91,grass,2026-05-07T07:55:35.914016+00:00
2026,regular,2026-03-28,823082,2026-03-28T18:15:00Z,Busch Stadium,STL,TBR,38.6226,-90.1928,open,open_meteo_archive,2026-03-28T18:00,51.3,44.5,46,,,6.6,146,15.9,1030.2,4,grass,2026-05-07T07:55:36.565146+00:00
2026,regular,2026-03-28,824701,2026-03-28T18:20:00Z,Wrigley Field,CHC,WSN,41.9484,-87.6553,open,open_meteo_archive,2026-03-28T18:00,45.6,37.7,52,,,8.6,190,19.9,1029.7,37,grass,2026-05-07T07:55:37.228452+00:00
2026,regular,2026-03-28,822838,2026-03-28T19:07:00Z,Rogers Centre,TOR,ATH,43.6414,-79.3894,retractable,open_meteo_archive,2026-03-28T19:00,33.1,24.3,47,,,7.3,269,23.5,1031.9,100,turf,2026-05-07T07:55:38.024135+00:00
