season,seasonPhase,date,gamePk,venue,home,away,roof,temperatureF,feelsLikeF,humidity,precipitationProbability,windMph,windDirection,windOutScore,windOutFlag,windSpeedScore,windScore,temperatureScore,humidityScore,rainScore,coldGameFlag,turfFlag,hrWeatherAdjustment,totalBasesWeatherAdjustment,hitsWeatherAdjustment,pitcherStrikeoutsWeatherAdjustment,pitcherHitsAllowedWeatherAdjustment,pitcherEarnedRunsWeatherAdjustment,weatherConfidence,weatherSummary
2026,regular,2026-03-25,823244,Oracle Park,SFG,NYY,open,58.6,52.6,32,,4.0,210,1.0,1,0.267,0.267,-0.57,-0.36,0,0,0,-0.0014,-0.0015,-0.0007,-0.0011,-0.0004,-0.0007,Medium,Weather mostly neutral.
2026,regular,2026-03-26,823649,Citi Field,NYM,PIT,open,57.3,54.6,75,,6.1,147,0.4,1,0.407,0.163,-0.635,0.5,0,0,0,-0.0016,-0.0015,-0.0016,-0.0007,-0.0014,-0.0019,Medium,Weather mostly neutral.
2026,regular,2026-03-26,823812,American Family Field,MIL,CHW,retractable,36.4,26.0,91,,16.5,24,-1.0,0,1,-1.0,-1,0.82,0.08,1,1,-0.014,-0.0088,-0.005,0.0,-0.0056,-0.0066,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-26,824704,Wrigley Field,CHC,WSN,open,41.8,32.1,87,,16.4,14,-1.0,0,1,-1.0,-1,0.74,0.332,1,0,-0.0294,-0.0185,-0.01,0.0,-0.0117,-0.0137,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; rain/precipitation risk lowers confidence
2026,regular,2026-03-26,824865,Oriole Park at Camden Yards,BAL,MIN,open,74.6,70.7,46,,11.0,223,0.4,1,0.733,0.293,0.23,-0.08,0,0,0,0.0079,0.005,0.0027,-0.0019,0.003,0.0035,Medium,Weather mostly neutral.
2026,regular,2026-03-26,824541,Great American Ball Park,CIN,BOS,open,75.7,72.2,57,,15.4,210,1.0,1,1,1.0,0.285,0.14,0,0,0,0.0233,0.0143,0.0071,-0.0049,0.0081,0.0094,Medium,wind appears hitter-friendly
2026,regular,2026-03-26,824218,Minute Maid Park,HOU,LAA,retractable,73.6,73.4,68,,10.6,166,1.0,1,0.707,0.707,0.18,0.36,0,0,1,0.0085,0.0052,0.0025,-0.0017,0.0028,0.0033,Medium,wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-26,823325,Petco Park,SDP,DET,open,64.1,65.5,79,,2.6,252,-0.4,0,0.173,-0.069,-0.295,0.58,0,0,0,-0.0026,-0.0017,-0.0016,0.0,-0.0017,-0.002,Medium,Weather mostly neutral.
2026,regular,2026-03-26,823081,Busch Stadium,STL,TBR,open,80.3,78.9,48,,10.4,202,1.0,1,0.693,0.693,0.515,-0.04,0,0,0,0.0189,0.0118,0.0062,-0.0043,0.0069,0.0081,Medium,warm temperature favors carry; wind appears hitter-friendly
2026,regular,2026-03-26,823486,Citizens Bank Park,PHI,TEX,open,69.5,64.5,54,,13.5,200,1.0,1,0.9,0.9,-0.025,0.08,0,0,0,0.018,0.0108,0.0053,-0.0036,0.0062,0.0071,Medium,wind appears hitter-friendly
2026,regular,2026-03-26,823974,Dodger Stadium,LAD,ARI,open,59.2,59.8,90,,3.4,15,-1.0,0,0.227,-0.227,-0.54,0.8,0,0,0,-0.0075,-0.0049,-0.0035,0.0,-0.0037,-0.0045,Medium,Weather mostly neutral.
