season,snapshotAt,date,market,marketGroup,player,team,opponent,pitcher,line,americanOdds,sportsbookImpliedPercent,finalProbabilityPercent,finalEdgePercent,edgeBucket,probabilityBucket,confidence,recommendation,weatherAdjustmentPercent,savantAdjustmentPercent,oddsMovementAdjustmentPercent,hasWeatherBoost,hasSavantBoost,hasOddsMovementBoost,missingData,actualStat,result,overHit,push,profitUnits,calculatedImpliedPercent,calculatedEdgePercent,edgeDelta,mathStatus,warnings
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Otto Lopez,MIA,PHI,Aaron Nola,1.5,197.0,33.67,54.24,20.57,8%+,50-55%,Medium,Positive edge,-0.13,0.8,1.5,0,1,1,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,1.0,loss,0,0,-1.0,33.67,20.57,0.0,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Otto Lopez,MIA,PHI,Aaron Nola,1.5,196.0,33.78,54.28,20.5,8%+,50-55%,Medium,Positive edge,-0.13,0.8,1.5,0,1,1,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,1.0,loss,0,0,-1.0,33.7838,20.4962,0.0038,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Otto Lopez,MIA,PHI,Aaron Nola,1.5,184.0,35.21,54.85,19.64,8%+,50-55%,Medium,Positive edge,-0.13,0.8,1.5,0,1,1,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,1.0,loss,0,0,-1.0,35.2113,19.6387,0.0013,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Moisés Ballesteros,CHC,CIN,Chase Petty,1.5,192.0,34.25,51.61,17.36,8%+,50-55%,Medium,Positive edge,-0.49,0.8,1.5,0,1,1,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,0.0,loss,0,0,-1.0,34.2466,17.3634,-0.0034,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,194.0,34.01,51.38,17.36,8%+,50-55%,Medium,Positive edge,-0.13,0.8,-1.5,0,1,0,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,1.0,win,1,0,1.94,34.0136,17.3664,-0.0064,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Brice Turang,MIL,STL,Kyle Leahy,1.5,173.0,36.63,53.98,17.35,8%+,50-55%,Medium,Positive edge,0.43,0.8,1.5,1,1,1,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,3.0,win,1,0,1.73,36.63,17.35,0.0,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,191.0,34.36,51.52,17.15,8%+,50-55%,Medium,Positive edge,-0.13,0.8,-1.5,0,1,0,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,1.0,win,1,0,1.91,34.3643,17.1557,-0.0057,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Yandy Díaz,TBR,TOR,Eric Lauer,1.5,163.0,38.02,55.11,17.09,8%+,55-60%,Medium-High,Positive edge,,0.8,1.5,0,1,1,PropLine game moneyline/total context | Self-stored odds movement snapshots,0.0,loss,0,0,-1.0,38.0228,16.2872,0.0028,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Chandler Simpson,TBR,TOR,Eric Lauer,1.5,162.0,38.17,55.17,17.0,8%+,55-60%,Medium-High,Positive edge,,0.8,1.5,0,1,1,PropLine game moneyline/total context | Self-stored odds movement snapshots,1.0,loss,0,0,-1.0,38.1679,17.0021,-0.0021,ok,
2026,2026-05-04T21:59:25.624015+00:00,2026-05-04,batter_hits,batter,Seiya Suzuki,CHC,CIN,Chase Petty,0.5,188.0,34.72,51.3,16.58,8%+,50-55%,Medium,Positive edge,-0.49,0.8,-1.5,0,1,0,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,2.0,win,1,0,1.88,34.7222,16.5778,0.0022,ok,
