snapshotAt,season,date,market,marketDisplay,baseMarket,isAltMarket,player,team,opponent,pitcher,line,americanOdds,finalProbabilityPercent,sportsbookImpliedPercent,finalEdgePercent,confidence,recommendation,weatherAdjustmentPercent,savantAdjustmentPercent,oddsMovementAdjustmentPercent,missingData,originalMarket,rawLabel,marketFamily
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Otto Lopez,MIA,PHI,Aaron Nola,1.5,197.0,54.24,33.67,20.57,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Otto Lopez,MIA,PHI,Aaron Nola,1.5,196.0,54.28,33.78,20.5,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Otto Lopez,MIA,PHI,Aaron Nola,1.5,184.0,54.85,35.21,19.64,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Moisés Ballesteros,CHC,CIN,Chase Petty,1.5,192.0,51.61,34.25,17.36,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,194.0,51.38,34.01,17.36,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Brice Turang,MIL,STL,Kyle Leahy,1.5,173.0,53.98,36.63,17.35,Medium,Positive edge,0.43,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,191.0,51.52,34.36,17.15,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Yandy Díaz,TBR,TOR,Eric Lauer,1.5,163.0,55.11,38.02,17.09,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Chandler Simpson,TBR,TOR,Eric Lauer,1.5,162.0,55.17,38.17,17.0,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Seiya Suzuki,CHC,CIN,Chase Petty,0.5,188.0,51.3,34.72,16.58,Medium,Positive edge,-0.49,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
