venue_name,park_factor,source
american family field,1.05,local_venue_reference
angel stadium,0.98,local_venue_reference
busch stadium,0.96,local_venue_reference
camden yards,1.02,local_venue_reference
chase field,1.03,local_venue_reference
citi field,0.97,local_venue_reference
citizens bank park,1.06,local_venue_reference
comerica park,0.98,local_venue_reference
coors field,1.16,local_venue_reference
dodger stadium,0.98,local_venue_reference
fenway park,1.04,local_venue_reference
globe life field,1.0,local_venue_reference
great american ball park,1.08,local_venue_reference
guaranteed rate field,1.01,local_venue_reference
kauffman stadium,0.99,local_venue_reference
loandepot park,0.95,local_venue_reference
minute maid park,1.01,local_venue_reference
nationals park,1.0,local_venue_reference
oracle park,0.93,local_venue_reference
petco park,0.94,local_venue_reference
pnc park,0.97,local_venue_reference
progressive field,0.99,local_venue_reference
rogers centre,1.02,local_venue_reference
safeco field,0.95,local_venue_reference
t-mobile park,0.95,local_venue_reference
target field,0.99,local_venue_reference
truist park,1.02,local_venue_reference
wrigley field,1.01,local_venue_reference
yankee stadium,1.05,local_venue_reference
